column,question_range,mean_abs_dx_px,mean_abs_dy_px,median_shift_px,p95_shift_px,changed_questions,changed_question_numbers
1,1-45,9.356,6.461,12.207,16.971,8,"17,27,33,34,35,36,42,43"
2,46-90,6.983,7.0,10.0,14.765,10,"59,65,66,67,75,76,77,83,84,90"
3,91-135,2.517,6.35,7.071,11.18,16,"106,107,108,115,116,117,118,119,120,122,123,131,132,133,134,135"
4,136-180,2.739,6.983,8.062,12.806,19,"147,148,153,154,155,156,158,159,164,165,166,167,168,169,170,172,177,178,180"
